"X","Y","PartID","depth","date_time","distance_decdegree","distance_meters","movement","id","Lat","Long","json_file","DeliveryTime","DeliveryDay"
145.441171,-14.672464,0,3.55,2021-11-26 06:14:00,0.0714284014125957,7942.47585541167,"moving",12,-14.6719,145.44134,"run_day_11652_liz21_del_06_12.json","06",11652
145.44117,-14.673099,0,3.55,2021-11-26 06:26:00,0.0706088603568592,7851.34704783685,"moving",12,-14.6719,145.44134,"run_day_11652_liz21_del_06_12.json","06",11652
145.441211,-14.673678,0,3.55,2021-11-26 06:38:00,0.0645327435737141,7175.71368785126,"moving",12,-14.6719,145.44134,"run_day_11652_liz21_del_06_12.json","06",11652
145.441385,-14.672254,1,3.55,2021-11-26 06:33:00,0.051541898928175,5731.19767043968,"moving",12,-14.6719,145.44134,"run_day_11652_liz21_del_06_12.json","06",11652
145.441368,-14.672712,1,3.55,2021-11-26 06:45:00,0.0509600972792336,5666.50427876395,"moving",12,-14.6719,145.44134,"run_day_11652_liz21_del_06_12.json","06",11652
145.441381,-14.673189,1,3.55,2021-11-26 06:57:00,0.0530584110029232,5899.82611934689,"moving",12,-14.6719,145.44134,"run_day_11652_liz21_del_06_12.json","06",11652
145.441422,-14.67366,1,3.55,2021-11-26 07:09:00,0.0525581776570512,5844.2027091475,"moving",12,-14.6719,145.44134,"run_day_11652_liz21_del_06_12.json","06",11652
145.441471,-14.672334,2,3.55,2021-11-26 06:36:00,0.0424949173782922,4725.21922064578,"moving",12,-14.6719,145.44134,"run_day_11652_liz21_del_06_12.json","06",11652
145.441458,-14.672679,2,3.55,2021-11-26 06:48:00,0.0383877286141863,4268.52066730568,"moving",12,-14.6719,145.44134,"run_day_11652_liz21_del_06_12.json","06",11652
145.441464,-14.673059,2,3.55,2021-11-26 07:00:00,0.0422590010221821,4698.98651873387,"moving",12,-14.6719,145.44134,"run_day_11652_liz21_del_06_12.json","06",11652
145.441493,-14.673475,2,3.55,2021-11-26 07:12:00,0.0463621560021077,5155.23653573795,"moving",12,-14.6719,145.44134,"run_day_11652_liz21_del_06_12.json","06",11652
145.441263,-14.672663,3,3.55,2021-11-26 06:12:00,0.065012721496563,7229.08479777345,"moving",12,-14.6719,145.44134,"run_day_11652_liz21_del_06_12.json","06",11652
145.441275,-14.673232,3,3.55,2021-11-26 06:24:00,0.0632830794751989,7036.75738008652,"moving",12,-14.6719,145.44134,"run_day_11652_liz21_del_06_12.json","06",11652
145.441377,-14.672173,4,3.55,2021-11-26 06:59:00,0.0532415487816375,5920.19011121688,"moving",12,-14.6719,145.44134,"run_day_11652_liz21_del_06_12.json","06",11652
145.441354,-14.67265,4,3.55,2021-11-26 07:11:00,0.0530976512454444,5904.18943523556,"moving",12,-14.6719,145.44134,"run_day_11652_liz21_del_06_12.json","06",11652
145.441362,-14.673137,4,3.55,2021-11-26 07:23:00,0.054158766498064,6022.18006791201,"moving",12,-14.6719,145.44134,"run_day_11652_liz21_del_06_12.json","06",11652
145.441403,-14.673622,4,3.55,2021-11-26 07:35:00,0.0541095739643725,6016.71010773673,"moving",12,-14.6719,145.44134,"run_day_11652_liz21_del_06_12.json","06",11652
145.441366,-14.67235,5,3.55,2021-11-26 06:34:00,0.0532013534449717,5915.72059370487,"moving",12,-14.6719,145.44134,"run_day_11652_liz21_del_06_12.json","06",11652
145.441355,-14.672825,5,3.55,2021-11-26 06:46:00,0.0528308425578293,5874.52166278806,"moving",12,-14.6719,145.44134,"run_day_11652_liz21_del_06_12.json","06",11652
145.441376,-14.673314,5,3.55,2021-11-26 06:58:00,0.0544212218309003,6051.36376939422,"moving",12,-14.6719,145.44134,"run_day_11652_liz21_del_06_12.json","06",11652
145.441481,-14.67217,6,3.55,2021-11-26 06:11:00,0.0436722679427079,4856.13463029092,"moving",12,-14.6719,145.44134,"run_day_11652_liz21_del_06_12.json","06",11652
145.441456,-14.672532,6,3.55,2021-11-26 06:23:00,0.0403422951460475,4485.85854943789,"moving",12,-14.6719,145.44134,"run_day_11652_liz21_del_06_12.json","06",11652
