"X","Y","PartID","depth","date_time","distance_decdegree","distance_meters","movement","id","Lat","Long","json_file","DeliveryTime","DeliveryDay"
145.438383,-14.681381,0,3.55,2021-11-26 06:40:00,0.121247552487426,13482.1127046716,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.437945,-14.681454,1,3.55,2021-11-26 06:14:00,0.117884339354423,13108.1404670573,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.437978,-14.68128,2,3.55,2021-11-26 06:36:00,0.119000012290622,13232.1976373573,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438293,-14.681328,3,3.55,2021-11-26 06:28:00,0.120620455555655,13412.3827073443,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438366,-14.681483,4,3.55,2021-11-26 06:23:00,0.119520463466746,13290.0691677085,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438313,-14.68133,5,3.55,2021-11-26 06:22:00,0.121335974990758,13491.9448384434,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.437829,-14.6815,6,3.55,2021-11-26 06:17:00,0.121652005272151,13527.0858024003,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.437837,-14.681412,7,3.55,2021-11-26 06:40:00,0.122100036912082,13576.9046477369,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.43809,-14.681249,8,3.55,2021-11-26 06:14:00,0.12188685168128,13553.1995316361,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438135,-14.681205,9,3.55,2021-11-26 06:41:00,0.122274034208716,13596.2522643724,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.437996,-14.681302,10,3.55,2021-11-26 06:21:00,0.1189028505582,13221.393745648,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438246,-14.681315,11,3.55,2021-11-26 06:17:00,0.121503774924032,13510.6033397147,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.43805,-14.681467,12,3.55,2021-11-26 06:54:00,0.117615748619909,13078.2745400357,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.437871,-14.681511,13,3.55,2021-11-26 06:36:00,0.118756181656396,13205.0849078709,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438027,-14.681312,14,3.55,2021-11-26 07:08:00,0.120816361621025,13434.1664679124,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.43799,-14.681302,15,3.55,2021-11-26 06:25:00,0.118458204046596,13171.9513094074,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.437821,-14.68136,16,3.55,2021-11-26 06:14:00,0.12455020904819,13849.351358678,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.437882,-14.681262,17,3.55,2021-11-26 06:16:00,0.124093957703586,13798.6185238833,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438304,-14.681307,18,3.55,2021-11-26 06:46:00,0.122069714009899,13573.532894853,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438017,-14.681237,19,3.55,2021-11-26 06:54:00,0.121801198728683,13543.6753578552,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438247,-14.681231,20,3.55,2021-11-26 06:48:00,0.123166113189707,13695.4469212249,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438161,-14.681379,21,3.55,2021-11-26 06:11:00,0.120111173532789,13355.7531301704,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438214,-14.681364,22,3.55,2021-11-26 06:48:00,0.1203984312206,13387.6947276945,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438001,-14.68138,23,3.55,2021-11-26 06:14:00,0.11813608129866,13136.1328940801,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.437822,-14.681345,24,3.55,2021-11-26 06:39:00,0.123778649702936,13763.5578738805,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.4381,-14.681504,25,3.55,2021-11-26 06:45:00,0.1167724065422,12984.4991795685,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.437872,-14.681372,26,3.55,2021-11-26 06:54:00,0.122649702131702,13638.0246315115,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438113,-14.681336,27,3.55,2021-11-26 06:51:00,0.120347215248317,13381.9997714135,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438013,-14.681527,28,3.55,2021-11-26 07:09:00,0.1171487666797,13026.3485174498,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438235,-14.681422,29,3.55,2021-11-26 07:02:00,0.120787167105675,13430.9201859196,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438059,-14.681405,30,3.55,2021-11-26 06:50:00,0.118397624952405,13165.2152214727,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.437806,-14.68147,31,3.55,2021-11-26 07:09:00,0.124442185964627,13837.3397398252,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438024,-14.681187,32,3.55,2021-11-26 06:15:00,0.122924809709652,13668.6151984611,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438033,-14.681561,33,3.55,2021-11-26 07:00:00,0.116603946316706,12965.7672571522,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438311,-14.681421,34,3.55,2021-11-26 06:27:00,0.119412962121281,13278.1155634853,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438135,-14.681501,35,3.55,2021-11-26 06:26:00,0.116285125325183,12930.3159803871,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438085,-14.681284,36,3.55,2021-11-26 06:14:00,0.120882231113384,13441.4908212833,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438185,-14.681239,37,3.55,2021-11-26 06:41:00,0.121914460306605,13556.2694707039,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438303,-14.681256,38,3.55,2021-11-26 06:25:00,0.122342449751954,13603.8597256841,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.437998,-14.681178,39,3.55,2021-11-26 06:14:00,0.12312455022761,13690.8253307034,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438079,-14.681426,40,3.55,2021-11-26 07:07:00,0.11932223006005,13268.0266185924,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.437962,-14.681564,41,3.55,2021-11-26 06:44:00,0.11522008824577,12811.889260468,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438231,-14.681263,42,3.55,2021-11-26 07:07:00,0.123703050467249,13755.1516224139,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438134,-14.68121,43,3.55,2021-11-26 06:19:00,0.122619013577497,13634.612219978,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.43813,-14.6812,44,3.55,2021-11-26 06:39:00,0.122157180086374,13583.2586788105,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.437862,-14.681448,45,3.55,2021-11-26 06:32:00,0.119868565280205,13328.7763233209,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.437821,-14.68133,46,3.55,2021-11-26 06:16:00,0.124998093619129,13899.1538506887,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.43827,-14.681277,47,3.55,2021-11-26 06:51:00,0.122777100734935,13652.1907098527,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.43786,-14.681398,48,3.55,2021-11-26 06:14:00,0.122315176055503,13600.827029008,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.437997,-14.681392,49,3.55,2021-11-26 06:21:00,0.117132716393213,13024.5638070213,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.437925,-14.681454,50,3.55,2021-11-26 06:12:00,0.118876915194855,13218.5098648233,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438273,-14.681532,51,3.55,2021-11-26 06:37:00,0.117487779324753,13064.0450036481,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438142,-14.681462,52,3.55,2021-11-26 06:54:00,0.118721251144073,13201.2008121155,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.437989,-14.681474,53,3.55,2021-11-26 06:53:00,0.116790788605107,12986.543171705,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438308,-14.681282,54,3.55,2021-11-26 06:44:00,0.122422071457481,13612.7132553895,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438102,-14.68136,55,3.55,2021-11-26 06:55:00,0.120003622474825,13343.7939981694,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438164,-14.681426,56,3.55,2021-11-26 06:50:00,0.119085648409964,13241.7199393656,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438313,-14.681334,57,3.55,2021-11-26 06:57:00,0.122764380978541,13650.7763374735,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438013,-14.681452,58,3.55,2021-11-26 06:55:00,0.117583428824702,13074.6807427784,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438323,-14.681421,59,3.55,2021-11-26 06:54:00,0.121194239198594,13476.1845374308,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438251,-14.681533,60,3.55,2021-11-26 06:18:00,0.118015845776024,13122.7633139605,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438329,-14.681309,61,3.55,2021-11-26 06:33:00,0.121389601272671,13497.9078089269,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438078,-14.681512,62,3.55,2021-11-26 06:52:00,0.117192758047632,13031.24013438,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.437931,-14.681351,63,3.55,2021-11-26 06:40:00,0.119316083668435,13267.3431710277,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438141,-14.681365,64,3.55,2021-11-26 06:44:00,0.119276352158998,13262.9252287503,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438256,-14.68155,65,3.55,2021-11-26 06:55:00,0.118553292819581,13182.5246985442,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.437977,-14.681461,66,3.55,2021-11-26 06:51:00,0.116892051450106,12997.8030863266,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.437782,-14.681389,67,3.55,2021-11-26 06:48:00,0.125469380893061,13951.5586045421,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.437928,-14.681435,68,3.55,2021-11-26 06:15:00,0.118654543220978,13193.7832295003,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.43809,-14.6812,69,3.55,2021-11-26 06:25:00,0.121891835231634,13553.7536771522,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.43786,-14.681349,70,3.55,2021-11-26 06:50:00,0.123208674166448,13700.1794859116,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438179,-14.681373,71,3.55,2021-11-26 06:56:00,0.120679835131903,13418.9854149694,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.4383,-14.681403,72,3.55,2021-11-26 06:11:00,0.121164019924829,13472.8243075012,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
145.438154,-14.681498,73,3.55,2021-11-26 06:22:00,0.116865903385864,12994.8955542412,"moving",15,-14.6803,145.43803,"run_day_11652_liz21_del_06_15.json","06",11652
